model,dataset,run_name,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,n_samples,config,model_size,cost_per_1k,estimated_cost,model_order
gpt-4o,toolqa,20250913T083152Z__toolqa_sample_1000__dev__gpt-4o__seed1__t0.2__mt3,0.982,0.97,0.992,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",8.0,0.0025,0.75,2
gpt-4o,mathbench,20250910T132536Z__mathbench_sample__dev__gpt-4o__seed1__t0.2__mt3,0.972,0.956,0.984,500,"{'dataset': 'data/scaling/mathbench_sample.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",8.0,0.0025,0.75,2
gpt-4o-mini,gsm8k,20250913T142510Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt3,0.323,0.294,0.352,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",1.8,0.00015,0.09,0
gpt-4o-mini,superglue,20250913T120434Z__superglue_sample_1000__dev__gpt-4o-mini__seed1__t0.2__mt3,0.246,0.212,0.286,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",1.8,0.00015,0.045,0
gpt-4o-mini,toolqa,20250913T081723Z__toolqa_sample_1000__dev__gpt-4o-mini__seed1__t0.2__mt3,0.832,0.798,0.862,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",1.8,0.00015,0.045,0
gpt-4o-mini,mathbench,20250910T131758Z__mathbench_sample__dev__gpt-4o-mini__seed1__t0.2__mt3,0.972,0.956,0.984,500,"{'dataset': 'data/scaling/mathbench_sample.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",1.8,0.00015,0.045,0
claude-haiku,gsm8k,20250913T213057Z__gsm8k__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,0.311,0.284,0.34,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",3.0,0.00025,0.15,1
claude-haiku,superglue,20250913T122909Z__superglue_sample_1000__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,0.376,0.332,0.422,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",3.0,0.00025,0.075,1
claude-haiku,toolqa,20250913T082455Z__toolqa_sample_1000__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,0.948,0.928,0.966,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",3.0,0.00025,0.075,1
claude-haiku,mathbench,20250910T135124Z__mathbench_sample__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,0.224,0.188,0.262,500,"{'dataset': 'data/scaling/mathbench_sample.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",3.0,0.00025,0.075,1
claude-sonnet,gsm8k,20250913T215757Z__gsm8k__dev__claude-3-5-sonnet-20241022__seed1__t0.2__mt3,0.662,0.634,0.69,1000,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-5-sonnet-20241022', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.003,1.8,3
claude-sonnet,superglue,20250913T124632Z__superglue_sample_1000__dev__claude-3-5-sonnet-20241022__seed1__t0.2__mt3,1.0,1.0,1.0,500,"{'dataset': 'data/scaling/superglue_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-5-sonnet-20241022', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.003,0.9,3
claude-sonnet,toolqa,20250913T084811Z__toolqa_sample_1000__dev__claude-3-5-sonnet-20241022__seed1__t0.2__mt3,1.0,1.0,1.0,500,"{'dataset': 'data/scaling/toolqa_sample_1000.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-5-sonnet-20241022', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.003,0.9,3
claude-sonnet,mathbench,20250910T142409Z__mathbench_sample__dev__claude-3-5-sonnet-20241022__seed1__t0.2__mt3,0.918,0.894,0.942,500,"{'dataset': 'data/scaling/mathbench_sample.csv', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-5-sonnet-20241022', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",70.0,0.003,0.9,3
