reprompt_id,style,intent,source_type,source_citation,length_hint_tokens,constraints,holdout,notes,reprompt_text
HUM-N-10,neutral,de_anchoring,human,,medium,challenge earliest commitment,0,De-anchoring,"Question your earliest nontrivial assumption; if it fails, replace that part and recompute the answer."
HUM-N-11,neutral,generic_critique,human,,short,revise if issues found,0,Brief critique,Give a brief critique and update the final answer if warranted.
HUM-N-12,neutral,sanity_check,human,,short,minimal edit,1,Held out (boundary),"Check boundary cases or simple examples. If they contradict your result, make the smallest necessary fix."
HUM-A-01,adversarial,first_error_minimal_fix,human,,short,fix first specific error,0,Force specificity,Your answer is likely flawed. Identify the first specific error and fix only that.
HUM-A-02,adversarial,generic_critique,human,,short,revise if issues found,0,Sharper tone,This answer appears unreliable. Re-check reasoning and provide a corrected final answer.
HUM-A-03,adversarial,error_span,human,,short,point to span; minimal edit,0,Locate error span,Point to the exact span where reasoning fails. Correct that span and update the final answer.
HUM-A-04,adversarial,stability_first,human,,short,no change unless concrete error,0,Guardrail (adversarial),"Do not change anything unless you can show a concrete, verifiable mistake."
HUM-A-05,adversarial,alt_path,human,,medium,reconcile differences,0,Force alternative,"Produce a more direct solution path. If it conflicts with your answer, resolve the conflict and finalize."
HUM-A-06,adversarial,de_anchoring,human,,medium,challenge earliest commitment,0,Break anchoring,"Your first commitment may be wrong. Replace it if unsupported, and recompute minimally."
HUM-A-07,adversarial,verify_units,human,,short,units only; minimal edit,1,Held out (units),Verify dimensions and units. Fix any mismatch without rewriting other parts.
HUM-A-08,adversarial,checklist,human,,medium,change only failed checks,0,Strict checklist,Provide a checklist of steps; mark failed ones. Change only failed steps.
HUM-A-09,adversarial,sanity_check,human,,short,minimal edit,0,Stress test,Stress-test each step for contradiction or unsupported inference. Fix only the failing step.
HUM-A-10,adversarial,first_error_minimal_fix,human,,short,fix first specific error,0,Earliest-fix reiteration,Find the earliest concrete mistake; correct it and leave correct steps unchanged.
HUM-A-11,adversarial,generic_critique,human,,short,revise if issues found,0,Direct critique,Re-examine the argument critically and produce a corrected final answer.
HUM-A-12,adversarial,error_span,human,,short,point to span; minimal edit,0,Locate & correct,Indicate the exact step where the error arises and provide the corrected step and answer.
HUM-M-01,meta,stability_first,human,,short,explicit 'no change' allowed,0,Anti-overcorrection,Only revise if you can justify a specific correction; otherwise respond 'no change'.
HUM-M-02,meta,checklist,human,,medium,change only suspect points,0,Meta-checklist,"Enumerate checkpoints (assumptions, arithmetic, references). Change only points that fail verification."
HUM-M-03,meta,sanity_check,human,,short,minimal edit,0,Meta sanity,Run a sanity check and explain briefly why the answer should change (or not).
HUM-M-04,meta,alt_path,human,,medium,reconcile differences,0,Meta reconciliation,"Outline a shorter path. If it diverges from your answer, reconcile and finalize."
HUM-M-05,meta,assumptions_explicit,human,,medium,validate assumptions; minimal edit,0,Assumptions meta,Expose assumptions and evidence for each. Adjust only the one that fails scrutiny.
HUM-M-06,meta,error_span,human,,short,point to span; minimal edit,0,Meta pointer,Cite the exact step where the error begins. Provide the correction and final answer.
HUM-M-07,meta,de_anchoring,human,,medium,challenge earliest commitment,0,Meta de-anchoring,"If your earliest assumption lacks support, replace it minimally and recompute."
HUM-M-08,meta,verify_units,human,,short,units only; minimal edit,0,Meta units,Confirm all units/conversions. Adjust only if a mismatch exists.
HUM-M-09,meta,generic_critique,human,,short,revise if issues found,1,Held out (meta generic),"Re-evaluate succinctly. If you find a concrete flaw, update the answer; otherwise keep it."
HUM-M-10,meta,stability_first,human,,short,no-change if no flaw,0,Stability reiteration,Do not modify text that is already correct. Update only content tied to a verified error.
HUM-M-11,meta,first_error_minimal_fix,human,,short,fix first specific error,0,Minimal-fix meta,"Identify the first concrete mistake; correct only that, then finalize."
HUM-M-12,meta,sanity_check,human,,short,minimal edit,1,Held out (meta sanity),"Perform a minimal sanity check. If nothing fails, reply 'no change'."
PAR-GC-01,neutral,generic_critique,llm_paraphrase,arXiv:2402.14809,short,revise if issues found,0,Paraphrase of generic critique,Revisit your solution and improve the final answer where appropriate.
PAR-GC-02,supportive,generic_critique,llm_paraphrase,arXiv:2402.14809,short,revise if issues found,1,Held out (paraphrase generic),Take another look and polish the answer only where needed.
PAR-FE-01,neutral,first_error_minimal_fix,llm_paraphrase,ACL:2024.findings.826,short,fix first error only,0,Paraphrase of first-error,"Locate the earliest mistake, correct that step precisely, and leave the rest unchanged."
PAR-ST-01,meta,stability_first,llm_paraphrase,arXiv:2402.12563,short,explicit 'no change' allowed,0,Paraphrase of stability-first,Modify your answer only if you can identify a definite error; otherwise respond with 'no change'.
PAR-CL-01,neutral,checklist,llm_paraphrase,arXiv:2406.01297,medium,change only failed checks,0,Paraphrase checklist,Write a brief checklist of steps; update only steps that do not pass the check.
PAR-DA-01,adversarial,de_anchoring,llm_paraphrase,,medium,challenge earliest commitment,1,Held out (paraphrase de-anchoring),Question your earliest committed step; replace it if unsupported and recompute minimally.
