valid,filename,dataset,model,sample_size,timestamp,max_turns,temperature,seed,source,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,n_samples,split,run_name,config,model_clean,dataset_clean,condition
True,,gsm8k,dev,,20250917T222327Z,2,0.2,1,runs_directory,0.3333333333333333,0.0,1.0,3,dev,20250917T222327Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt2,"{'dataset': 'gsm8k', 'subset': 'subset_3', 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (2-turn)
True,,gsm8k,dev,,20250916T090443Z,2,0.2,1,runs_directory,0.0,0.0,0.0,1000,smoke,20250916T090443Z__gsm8k_smoke__dev__demo__seed1__t0.2__mt2,"{'dataset': 'test_data/gsm8k_smoke.csv', 'subset': None, 'max_turns': 2, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (2-turn)
True,,gsm8k,dev,,20250919T022858Z,3,0.2,1,runs_directory,0.878,0.848,0.908,500,dev,20250919T022858Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_500', 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250913T215757Z,3,0.2,1,runs_directory,0.662,0.634,0.69,1000,dev,20250913T215757Z__gsm8k__dev__claude-3-5-sonnet-20241022__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-5-sonnet-20241210', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250918T211532Z,3,0.2,1,runs_directory,0.94,0.89,0.98,100,dev,20250918T211532Z__gsm8k__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_100', 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250921T234207Z,3,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250921T234207Z__gsm8k__dev__meta-llama-2-70b-chat__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/llama-2-70b-chat', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250913T213057Z,3,0.2,1,runs_directory,0.311,0.284,0.34,1000,dev,20250913T213057Z__gsm8k__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250919T032610Z,3,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250919T032610Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 3, 'provider': 'mixed', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250908T212720Z,3,0.2,1,runs_directory,0.6666666666666666,0.3333333333333333,1.0,3,1k,20250908T212720Z__gsm8k_1k__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'runs/tmp/inputs/gsm8k_1k.csv', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250914T110424Z,3,0.2,1,runs_directory,0.169,0.148,0.194,1000,dev,20250914T110424Z__gsm8k__dev__meta-meta-llama-3-70b__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/meta-llama-3-70b', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250918T235320Z,3,0.2,1,runs_directory,0.864,0.836,0.892,500,dev,20250918T235320Z__gsm8k__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_500', 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250914T071025Z,3,0.2,1,runs_directory,0.485,0.454,0.517,1000,dev,20250914T071025Z__gsm8k__dev__gpt-4__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250922T003249Z,3,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250922T003249Z__gsm8k__dev__meta-llama-2-70b-chat__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 3, 'provider': 'replicate', 'model': 'meta/llama-2-70b-chat', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250913T145036Z,3,0.2,1,runs_directory,0.547,0.519,0.577,1000,dev,20250913T145036Z__gsm8k__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250913T142510Z,3,0.2,1,runs_directory,0.323,0.294,0.352,1000,dev,20250913T142510Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt3,"{'dataset': 'data/gsm8k', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250919T025612Z,3,0.2,1,runs_directory,0.44,0.3,0.58,50,dev,20250919T025612Z__gsm8k__dev__gpt-4o-mini__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_50', 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,dev,,20250919T032610Z,3,0.2,1,runs_directory,0.0,0.0,0.0,20,dev,20250919T032610Z__gsm8k__dev__claude-3-haiku-20240307__seed1__t0.2__mt3,"{'dataset': 'gsm8k', 'subset': 'subset_20', 'max_turns': 3, 'provider': 'anthropic', 'model': 'claude-3-haiku-20240307', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,GSM8K,Self-Correction (3-turn)
True,,gsm8k,full_system,,20250903T065339Z,2,0.2,1,runs_directory,0.0,0.0,0.0,3,dev,20250903T065339Z__gsm8k__full_system__gpt-4o__seed1__t0.2__mt2,"{'dataset': 'gsm8k', 'subset': None, 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",full_system,GSM8K,Self-Correction (2-turn)
True,humaneval_gpt-4o_summary_20250918_152028.csv,humaneval,gpt-4o,4.0,20250918_152028,3,0.2,42,csv_results,0.8719512195121951,0.8206537328524733,0.9232487061719169,164,,,,GPT-4o,HumanEval,Self-Correction (3-turn)
True,,humaneval,baseline,,20250903T063812Z,2,0.2,1,runs_directory,1.0,1.0,1.0,20,dev,20250903T063812Z__humaneval__baseline__gpt-4o__seed1__t0.2__mt2,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",baseline,HumanEval,Self-Correction (2-turn)
True,,humaneval,baseline,,20250903T065337Z,2,0.2,1,runs_directory,1.0,1.0,1.0,20,dev,20250903T065337Z__humaneval__baseline__gpt-4o__seed1__t0.2__mt2,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",baseline,HumanEval,Self-Correction (2-turn)
True,,humaneval,dev,,20250919T082106Z,1,0.2,1,runs_directory,0.7987804878048781,0.7378048780487805,0.8536585365853658,164,dev,20250919T082106Z__humaneval__dev__gpt-4o__seed1__t0.2__mt1,"{'dataset': 'humaneval', 'subset': None, 'max_turns': 1, 'provider': 'mixed', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Baseline
True,,humaneval,dev,,20250916T060155Z,1,0.2,1,runs_directory,1.0,1.0,1.0,20,dev,20250916T060155Z__humaneval__dev__gpt-4o-mini__seed1__t0.2__mt1,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Baseline
True,,humaneval,dev,,20250914T104030Z,1,0.2,1,runs_directory,1.0,1.0,1.0,164,dev,20250914T104030Z__humaneval__dev__demo__seed1__t0.2__mt1,"{'dataset': 'humaneval', 'subset': '3', 'max_turns': 1, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Baseline
True,,humaneval,dev,,20250916T055534Z,1,0.2,1,runs_directory,1.0,1.0,1.0,20,dev,20250916T055534Z__humaneval__dev__gpt-4o-mini__seed1__t0.2__mt1,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'gpt-4o-mini', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Baseline
True,,humaneval,dev,,20250914T110324Z,1,0.2,1,runs_directory,1.0,1.0,1.0,20,dev,20250914T110324Z__humaneval__dev__demo__seed1__t0.2__mt1,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 1, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Baseline
True,,humaneval,dev,,20250916T090445Z,2,0.2,1,runs_directory,1.0,1.0,1.0,164,dev,20250916T090445Z__humaneval__dev__demo__seed1__t0.2__mt2,"{'dataset': 'test_data/humaneval_smoke.jsonl', 'subset': None, 'max_turns': 2, 'provider': 'demo', 'model': 'demo', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Self-Correction (2-turn)
True,,humaneval,dev,,20250908T211602Z,2,0.2,1,runs_directory,0.95,0.85,1.0,20,dev,20250908T211602Z__humaneval__dev__gpt-4o__seed1__t0.2__mt2,"{'dataset': 'humaneval', 'subset': 'subset_20', 'max_turns': 2, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Self-Correction (2-turn)
True,,humaneval,dev,,20250918T222028Z,3,0.2,1,runs_directory,0.8719512195121951,0.8170731707317073,0.9207317073170732,164,dev,20250918T222028Z__humaneval__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'humaneval', 'subset': None, 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Self-Correction (3-turn)
True,,humaneval,dev,,20250908T212605Z,3,0.2,1,runs_directory,0.7682926829268293,0.7012195121951219,0.8292682926829268,164,dev,20250908T212605Z__humaneval__dev__gpt-4o__seed1__t0.2__mt3,"{'dataset': 'humaneval', 'subset': 'full', 'max_turns': 3, 'provider': 'openai', 'model': 'gpt-4o', 'seeds': [1, 2, 3], 'temperature': 0.2, 'meta': {'git_commit': '', 'harness_versions': {'evalplus_version': 'N/A', 'humaneval_harness': 'local_sandbox_v1', 'gsm8k_extractor_version': 'metrics/accuracy.py@normalize_v2'}, 'os': 'Darwin'}}",dev,HumanEval,Self-Correction (3-turn)
True,mathbench_sample_100.csv_gpt-4o_summary_20250918_225637.csv,mathbench,gpt-4o,100.0,20250918_225637,3,0.2,42,csv_results,0.416,0.37275271110469943,0.45924728889530053,500,,,,GPT-4o,MathBench,Self-Correction (3-turn)
True,mathbench_sample_500.csv_gpt-4o_summary_20250921_104217.csv,mathbench,gpt-4o,500.0,20250921_104217,3,0.2,42,csv_results,0.376,0.3334996980229992,0.4185003019770008,500,,,,GPT-4o,MathBench,Self-Correction (3-turn)
